IncidentDuration,Severity
4501.0,2
3176.0,2
6030.0,2
3630.0,2
5133.0,2
7824.0,2
8069.0,2
2671.0,2
22467.0,2
4125.0,2
7725.0,2
26767.0,2
2709.0,2
52999.0,2
1950.0,2
4681.0,2
21600.0,2
7909.0,2
5281.0,2
4901.0,2
8338.0,2
1787.0,2
4740.0,2
5374.0,2
5594.0,2
1290.0,2
1778.0,2
9612.0,2
2884.0,2
2657.0,2
8172.0,2
3572.0,2
14206.0,2
21600.0,2
1790.0,2
5946.0,2
4614.0,2
3590.0,2
2281.0,2
16402.0,2
5380.0,2
7686.0,2
4500.0,2
1758.0,2
9361.0,2
1726.0,2
7789.0,2
7894.0,2
4676.0,2
38400.0,2
3580.0,2
11610.0,2
1759.0,2
9360.0,2
21600.0,2
1938.0,2
2009.0,2
2683.0,2
3600.0,2
1783.0,2
5903.0,2
4506.0,2
1781.0,2
4530.0,2
1800.0,2
4766.0,2
1713.0,2
5561.0,2
1957.0,2
21600.0,2
720.0,2
9063.0,2
4501.0,2
17549.0,2
1778.0,2
9346.0,2
6054.0,2
8520.0,2
4918.0,2
21600.0,2
4999.0,2
5606.0,2
3580.0,2
1781.0,2
1539.0,2
1783.0,2
7959.0,2
7193.0,2
7540.0,2
2430.0,2
2684.0,2
7653.0,2
12559.0,2
6668.0,2
1773.0,2
4718.0,2
3262.0,2
7887.0,2
1780.0,2
3272.0,2
4682.0,2
4501.0,2
17580.0,2
6722.0,2
14558.0,2
28329.0,2
8036.0,2
7318.0,2
7681.0,2
1756.0,2
1440.0,2
1783.0,2
7537.0,2
4643.0,2
2678.0,2
21600.0,2
11030.0,2
9267.0,2
7601.0,2
10009.0,2
4629.0,2
7925.0,2
3112.0,2
2667.0,2
9933.0,2
47820.0,2
2598.0,2
2579.0,2
8523.0,2
7650.0,2
7232.0,2
1800.0,2
1783.0,2
540.0,2
3225.0,2
14664.0,2
4587.0,2
1765.0,2
28385.0,2
900.0,2
4478.0,2
8119.0,2
1786.0,2
1857.0,2
2677.0,2
4110.0,2
7629.0,2
21600.0,2
7973.0,2
2673.0,2
44732.0,2
7127.0,2
2669.0,2
4615.0,2
3990.0,2
7400.0,2
1787.0,2
1781.0,2
1800.0,2
4662.0,2
14398.0,2
2681.0,2
2664.0,2
21600.0,2
11234.0,2
4694.0,2
3578.0,2
3547.0,2
1790.0,2
4676.0,2
7386.0,2
8777.0,2
1772.0,2
3592.0,2
5663.0,2
9002.0,2
3922.0,2
2851.0,2
4882.0,2
24060.0,2
9487.0,2
1790.0,2
4489.0,2
1784.0,2
1440.0,2
13891.0,2
2700.0,2
7589.0,2
1789.0,2
12870.0,2
1765.0,2
3793.0,2
1751.0,2
8138.0,2
3780.0,2
4783.0,2
3588.0,2
4811.0,2
8296.0,2
4625.0,2
2685.0,2
7296.0,2
50288.0,2
1500.0,2
3300.0,2
1798.0,2
8060.0,2
2819.0,2
7829.0,2
1766.0,2
1782.0,2
2653.0,2
5887.0,2
2732.0,2
1771.0,2
11251.0,2
4500.0,2
1771.0,2
21600.0,2
7348.0,2
17100.0,2
5352.0,2
4965.0,2
1716.0,2
1791.0,2
9792.0,2
8604.0,2
2670.0,2
48199.0,2
4763.0,2
4500.0,2
1320.0,2
1777.0,2
13584.0,2
3737.0,2
5409.0,2
1767.0,2
4731.0,2
2633.0,2
7747.0,2
6020.0,2
1783.0,2
1773.0,2
1782.0,2
6705.0,2
1740.0,2
13702.0,2
2673.0,2
3498.0,2
1800.0,2
8391.0,2
1761.0,2
8436.0,2
4791.0,2
7691.0,2
5580.0,2
7735.0,2
10770.0,2
33840.0,2
11670.0,2
4649.0,2
10021.0,2
4693.0,2
7395.0,2
14001.0,2
1798.0,2
1792.0,2
1410.0,2
3300.0,2
1784.0,2
3639.0,2
4631.0,2
4659.0,2
5389.0,2
